date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:32	16800/16800	---M--	200	added ('OK')	font/woff	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0)
18:21:33	34092/34092	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0)
18:21:34	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0)
18:21:39	849145/849145	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0)
18:21:51	13576/13576	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0)
18:21:53	414623/414623	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:21:35%20GMT	https://live-tvs.shop/index.php?rest_route=/wp/v2/pages/42	C:/Users/pc/Desktop/site777/live-tvs.shop/index652d.php	(from https://live-tvs.shop/?page_id=42)
18:22:01	1041/1041	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2000:23:28%20GMT	https://live-tvs.shop/wp-content/uploads/elementor/css/post-42.css?ver=1618320724	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/elementor/css/post-4274f7.css	(from https://live-tvs.shop/?page_id=42)
18:22:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20May%202021%2017:21:41%20GMT	https://live-tvs.shop/?p=42	C:/Users/pc/Desktop/site777/live-tvs.shop/indexfbd5.html	(from https://live-tvs.shop/?page_id=42)
18:22:14	12064/12064	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:22:12%20GMT	https://live-tvs.shop/index.php?rest_route=/wp/v2/pages/541	C:/Users/pc/Desktop/site777/live-tvs.shop/indexa62b.php	(from https://live-tvs.shop/?page_id=541)
18:22:23	2231/2231	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:21:52%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D42	C:/Users/pc/Desktop/site777/live-tvs.shop/index30fb.php	(from https://live-tvs.shop/?page_id=42)
18:22:24	2312/2312	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20May%202021%2017:21:54%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D42&format=xml	C:/Users/pc/Desktop/site777/live-tvs.shop/indexcf5b.php	(from https://live-tvs.shop/?page_id=42)
18:22:28	3293/3293	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20May%202021%2009:39:08%20GMT	https://live-tvs.shop/wp-content/uploads/elementor/css/post-541.css?ver=1622021948	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/elementor/css/post-541343d.css	(from https://live-tvs.shop/?page_id=541)
18:22:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20May%202021%2017:22:15%20GMT	https://live-tvs.shop/?p=541	C:/Users/pc/Desktop/site777/live-tvs.shop/index4126.html	(from https://live-tvs.shop/?page_id=541)
18:22:49	39421/39421	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:22:46%20GMT	https://live-tvs.shop/index.php?rest_route=/wp/v2/pages/367	C:/Users/pc/Desktop/site777/live-tvs.shop/index6575.php	(from https://live-tvs.shop/?page_id=367)
18:22:55	2224/2224	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:22:24%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D541	C:/Users/pc/Desktop/site777/live-tvs.shop/index605c.php	(from https://live-tvs.shop/?page_id=541)
18:22:55	9776/9776	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2000:23:28%20GMT	https://live-tvs.shop/wp-content/uploads/elementor/css/post-367.css?ver=1618879772	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/elementor/css/post-367794f.css	(from https://live-tvs.shop/?page_id=367)
18:22:56	2305/2305	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20May%202021%2017:22:25%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D541&format=xml	C:/Users/pc/Desktop/site777/live-tvs.shop/index3b7c.php	(from https://live-tvs.shop/?page_id=541)
18:22:58	33430/33430	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2000:23:22%20GMT	https://live-tvs.shop/wp-content/uploads/2021/03/MAG.png	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/2021/03/MAG.png	(from https://live-tvs.shop/?page_id=367)
18:23:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20May%202021%2017:22:50%20GMT	https://live-tvs.shop/?p=367	C:/Users/pc/Desktop/site777/live-tvs.shop/index55d4.html	(from https://live-tvs.shop/?page_id=367)
18:23:23	6595/6595	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:23:22%20GMT	https://live-tvs.shop/index.php?rest_route=/wp/v2/pages/50	C:/Users/pc/Desktop/site777/live-tvs.shop/index8f01.php	(from https://live-tvs.shop/?page_id=50)
18:23:25	1809/1809	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2000:23:28%20GMT	https://live-tvs.shop/wp-content/uploads/elementor/css/post-50.css?ver=1618265914	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/elementor/css/post-50ec1d.css	(from https://live-tvs.shop/?page_id=50)
18:23:27	2290/2290	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20May%202021%2017:22:57%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D367&format=xml	C:/Users/pc/Desktop/site777/live-tvs.shop/index5e4e.php	(from https://live-tvs.shop/?page_id=367)
18:23:28	2209/2209	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:22:57%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D367	C:/Users/pc/Desktop/site777/live-tvs.shop/index4c68.php	(from https://live-tvs.shop/?page_id=367)
18:23:33	472707/472707	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2000:23:22%20GMT	https://live-tvs.shop/wp-content/uploads/2021/03/dp-2-1024x1024.png	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/2021/03/dp-2-1024x1024.png	(from https://live-tvs.shop/?page_id=50)
18:23:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20May%202021%2017:23:24%20GMT	https://live-tvs.shop/?p=50	C:/Users/pc/Desktop/site777/live-tvs.shop/index6aed.html	(from https://live-tvs.shop/?page_id=50)
18:23:58	2213/2213	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:23:26%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D50	C:/Users/pc/Desktop/site777/live-tvs.shop/index938f.php	(from https://live-tvs.shop/?page_id=50)
18:23:59	2294/2294	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20May%202021%2017:23:28%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D50&format=xml	C:/Users/pc/Desktop/site777/live-tvs.shop/index0baf.php	(from https://live-tvs.shop/?page_id=50)
18:23:59	17582/17582	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:23:56%20GMT	https://live-tvs.shop/index.php?rest_route=/wp/v2/pages/48	C:/Users/pc/Desktop/site777/live-tvs.shop/indexf75e.php	(from https://live-tvs.shop/?page_id=48)
18:24:02	1088/1088	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2000:23:28%20GMT	https://live-tvs.shop/wp-content/uploads/elementor/css/post-48.css?ver=1618323498	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/elementor/css/post-4894e9.css	(from https://live-tvs.shop/?page_id=48)
18:24:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20May%202021%2017:23:59%20GMT	https://live-tvs.shop/?p=48	C:/Users/pc/Desktop/site777/live-tvs.shop/index94b0.html	(from https://live-tvs.shop/?page_id=48)
18:24:30	7876/7876	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2000:23:28%20GMT	https://live-tvs.shop/wp-content/uploads/elementor/css/post-156.css?ver=1621038260	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/uploads/elementor/css/post-1567af9.css	(from https://live-tvs.shop/?page_id=156)
18:24:31	2285/2285	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20May%202021%2017:24:00%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D48&format=xml	C:/Users/pc/Desktop/site777/live-tvs.shop/indexf8f9.php	(from https://live-tvs.shop/?page_id=48)
18:24:31	2204/2204	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:24:00%20GMT	https://live-tvs.shop/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Flive-tvs.shop%2F%3Fpage_id%3D48	C:/Users/pc/Desktop/site777/live-tvs.shop/index2641.php	(from https://live-tvs.shop/?page_id=48)
18:24:33	31253/31253	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20May%202021%2017:24:31%20GMT	https://live-tvs.shop/index.php?rest_route=/wp/v2/pages/156	C:/Users/pc/Desktop/site777/live-tvs.shop/index4b15.php	(from https://live-tvs.shop/?page_id=156)
